id,actors_m,headline,coder_name
234,1,"war and violence drive 80% of people fleeing to europe by sea, not economics;
report challenges economic migrant myth, revealing that most of those making
perilous sea crossing were forced from their homes by persecution and fear",C8
90,1,"brussels tells uk: stump up an extra £1.7bn;
cameron's eu promises in ruins as france gets a £790m rebate",C8
1,1,"asylum girl 'fed up' in uk;
court",C8
324,0,"in jo's name, put dignity and caring in the place of hate;
ros wynne jones says we must remember jo cox as she was and start looking for
answers, even ones that cause discomfort",C8
454,1,"labour: we'll break up islamic ghettos;
exclusive minister speaks out on 'no-go' areas for whites",C8
1262,0,"enquiry launched after cops hurl food at hungry refugees - but officials are
already making excuses;
the shocking footage taken at a cramped holding camp on the border of hungary
and austria showed police in hygeine masks throwing food at the desperate crowd",C8
1183,0,"priest in belgium stabbed 'by asylum seeker in his own home after letting him in
to use shower';
jos vanderlee, 65, suffered injuries to his hands during a robbery in lanaken,
belgium, at around 2.40pm local time this afternoon",C8
188,1,"plan to change rule for refugees raises stakes in uk eu referendum;
formal scrapping of dublin regulation,- which obliges refugees to claim asylum
in first country they arrive in, could leave uk more open to migration flows",C8
1088,1,"'now they can stop running': sweden's sharp rise in child refugees;
country takes in more lone children relative to its population than any other
european nation, with 12,000 expected this year",C9
543,0,"major disturbance at immigration centre after detainee's death;
a major disturbance has broken out at the morton hall centre in swinderby,
lincs, after the death of a detainee",C9
606,0,"qatar: migrant's story: lured by a job, but driven to despair by accident and
two years of legal battles",C9
897,0,"rebel wilson is 35, so what? she's paid to pretend to be someone else;
as an entertainer in an industry built on illusion, it is bizarre to consider
the strange tone of betrayal around reporting on rebel wilson's age",C9
1292,0,"stars sign up as buddies to help calais children reunite with uk families;
jude law and benedict cumberbatch among celebrities to sponsor child refugees as
their 'buddy', pay legal costs and urge authorities to give them safe passage",C9
1101,1,"nigel in pub fight;
al murray's landlord to stand as mp in same seat as ukip farage",C9
1238,0,"comment & debate: comment is free at the g8 summit: the german police will not
intimidate us",C9
287,0,how drugs harm us,C9
331,0,"far-right group sends ship to mediterranean to confront 'criminal' rescue
vessels and block migrants",C9
1075,0,the advantages of the european economic area are clear,C9
1031,0,"greece sends riot police to crisis-hit aegean island;
for a second day, police on kos struggled to keep control of hundreds of
refugees penned into an old football stadium, waiting to receive official travel
documents",C10
1232,1,"uk plan to register eu citizens would be illegal, say meps;
britain will have to register 'everyone or no one' in brexit transition, says
cross-party group after amber rudd outlines plans",C10
842,0,"nauru justice minister attacks 'arrogant' australian journalists;
responding to calls for greater access to the country, david adeang says the
australian media approaches reporting on nauru 'with an air of racial
superiority'",C10
1456,0,"up to 200 people still unaccounted for after migrant boat sinks off libya;
of estimated 600 migrants on board during wednesday's capsizing 373 have been
rescued, pointing to largest loss of life in mediterranean since april",C10
467,1,leading article: simpler and uglier: rise of the far right,C10
305,1,"trump win sparks riots across us as crowds burn american flag and chant 'not our
president';
clinton supporters were filmed setting fire to the us flag while marching
through the streets of portland, oregon, shouting f*** donald trump",C10
438,0,"trump: hillary clinton may be 'most corrupt person ever' to run for president;
the presumptive republican nominee invoked familiar criticisms of clinton's
trustworthiness and ethics wednesday in response to her blistering attacks",C10
831,0,"immigration arrest ad is 'a cynical stunt';
cooper backs cable outburst",C10
1265,0,"asylum seeker children on christmas island transferred to detention in darwin;
last children and their families brought to mainland as part of a deal between
the government and senate crossbenchers to reintroduce temporary protection
visas",C10
531,0,"blaming immigration;
letters to the editor",C10
1460,0,"australia spent estimated $130,000 on raaf jet to fly pregnant somali refugee to
nauru;
abyan taken out of australia on a charter flight costing around $11,000 per hour",C11
1208,0,"'he survived assad only to be killed in a tower block in london': first victim
of grenfell fire is syrian refugee mohammed al-haj ali",C11
672,0,african migrants land on beach and run off past holidaymakers,C11
515,0,great asylum cover-up,C11
824,0,"leaflets telling migrants how to behave handed out at german swimming pools
after women 'sexually assaulted';
the guides have subtitles in english and arabic and contain rules such as no
pushing, no diving and no touching women's behinds",C11
1091,1,immigration is good for uk says obr chief,C11
1013,0,war on britain: deal on security,C11
644,1,"labour rift over migration deepens as tom watson calls for freedom of movement
rules to be reformed",C11
96,0,"yoga in palestine: the search for inner peace amid ongoing conflict;
to cope with the mental stress of life under political stalemate, palestinians
are increasingly turning to yoga, in refugee camps, villages and citiesparkour,
dressing up and playing with lion cubs: how palestinians relax",C11
1247,1,"bnp 'needs 5% swing to win 70 council seats': white working class losing faith
in labour, says mp: party strongest in london, yorkshire and lancashire",C11
345,1,"theresa may's attacks on human rights laws are gifts for despots - un;
zeid ra'ad al-hussein criticises british culture of denigrating 'bodies of
international law that are now endangered'",C12
752,0,pope: stop closing door on migrants,C12
799,0,romanians told: life is tough in britain,C12
628,0,eastern european slowdown,C12
1468,1,"eu debate: boris johnson vs sadiq khan in final bbc showdown with 6,000-strong
wembley audience",C12
729,0,hiv rise 'due to asylum seekers',C12
1046,0,"stuff the countryside - london is the best place on earth to raise a family;
don't move to the country if you want to raise a well-educated, sober and
streetwise kid",C12
1151,0,"vikings were not the sex-mad marauders we thought, new dna study suggests;
horny helmeted norsemen may have a reputation as sex-mad plunderers but they
never left enough offspring to have done so in britain according to dna studies",C12
789,0,reply: letter: double standards on immigration,C12
1466,0,"calais jungle: prefecture officials begin telling residents to leave;
following legal go-ahead for demolition of camp, charity volunteers reassure
people they do not need to move out immediately",C12
126,0,racist 'make edison great again' flyers target cricket in new jersey,C13
61,1,"tim farron outlines 'optimistic direction' for lib dems;
new liberal democrat leader refuses to be drawn on where he resides on the
left-to-right political spectrum and says party must pick and choose its issues",C13
900,0,refugees' lorry terror,C13
1350,1,"nigel farage accused of 'outrageous blatant scaremongering' after suggesting
migrants could pose sex attack threat to britain",C13
1023,1,"mps want immigrant ban to save british jobs;
britain should be able to block immigration from other eu countries during the
current period of high unemployment, according to a group of influential mps.",C13
43,0,"4,581,269 ..number of people living in ireland;
census shock as the population booms",C13
764,1,"michael gove 'could be sacked' over attacks on david cameron's eu deal;
the justice secretary - who was previously axed from his education brief - could
be in the firing line after saying the pm's deal wasn't legally binding",C13
105,1,"david cameron gaining further support on the eu from all danish opposition
parties;
we will support the british prime minister if we win next week's election,
danish political parties vying for power say",C13
673,0,"'senseless violence' as leather-jacketed thug kicks woman down subway stairs and
she lands on her face;
the unprovoked attack shows four men target a stranger in public in a brutal
assault that sends her to hospital",C13
237,0,"warsaw packed;
scandal of cheap foreign staff hundreds of polish workers bussed in to next site
in an area of high unemployment exclusive",C13
434,1,eu revives blunkett's asylum camp plan,C14
1382,0,migrants take seven in 10 of labour's new jobs,C14
465,0,rule change could see property prices take off in jakarta,C14
588,1,"comment & debate: bring on the conspiracy: the tories have stolen a march on the
internet. it's time for left-liberals to get organised online",C14
1227,1,"code of race ethics proposed for parliament to counter rise of one nation;
exclusive: labor weighs plan to invite parliamentarians to sign up to a set of
principles respecting diversity and truthfulness",C14
1095,1,snp expects record level of migrants,C14
1257,0,"end of the line;
 fifty-seven irish navvies were buried here 170 years ago, allegedly",C14
1251,1,"gentler touch as eu rivals seek rural vote;
europe 2016 ; david cameron vows to drop personal attacks for last 30 days of eu
referendum campaign",C14
954,0,71% of under 24s fear immigration,C14
767,1,"national archives: mid-life stresses forced mp to flee family and cabinet:
official papers released today reveal why stonehouse faked his own death by
leaving a pile of clothes on a miami beach",C14
